ViPhOG	Best_taxon	Rank	Min_score	Next_max_score
ViPhOG25016	Chlorovirus	Genus	125.5	104.3
ViPhOG19018	Pandoravirus	Genus	89.9	79.2
ViPhOG13219	Mimivirus	Genus	133.7	60.9
ViPhOG27318	Hanrivervirus	Genus	304.4	283.6
ViPhOG15030	Chlorovirus	Genus	241.6	200.1
ViPhOG1313	Aphthovirus	Genus	77.7	58.3
ViPhOG25032	Chlorovirus	Genus	139.9	118.8
ViPhOG20600	Phikmvvirus	Genus	1462.7	515.4
ViPhOG1032	Betaarterivirus	Genus	284.6	227.0
ViPhOG15368	Mimivirus	Genus	203.4	126.6
ViPhOG17122	Septimatrevirus	Genus	457.1	361.8
ViPhOG3598	Rudivirus	Genus	156.5	76.3
ViPhOG19338	Pandoravirus	Genus	83.3	65.7
ViPhOG27147	Limdunavirus	Genus	171.4	83.3
ViPhOG7502	Mimivirus	Genus	147.8	72.8
ViPhOG7789	Mimivirus	Genus	142.0	79.7
ViPhOG11713	Gordtnkvirus	Genus	192.4	138.2
ViPhOG5965	Mapvirus	Genus	292.5	281.6
ViPhOG23108	Septimatrevirus	Genus	168.7	77.0
ViPhOG4124	Cytomegalovirus	Genus	186.7	157.2
ViPhOG6435	Betaarterivirus	Genus	103.6	64.6
ViPhOG1839	Iltovirus	Genus	181.9	178.6
ViPhOG25848	Betaentomopoxvirus	Genus	171.0	60.9
ViPhOG20868	Tegunavirus	Genus	161.5	92.9
ViPhOG7107	Mimivirus	Genus	216.3	111.6
ViPhOG13782	Rogunavirus	Genus	122.6	122.2
ViPhOG12551	Tidunavirus	Genus	99.8	93.7
ViPhOG18528	Ionavirus	Genus	689.5	477.0
ViPhOG16335	Alphacoronavirus	Genus	33.0	nan
ViPhOG988	Kafunavirus	Genus	880.8	782.4
ViPhOG22431	Lightbulbvirus	Genus	145.5	142.7
ViPhOG1009	Betaarterivirus	Genus	65.6	35.5
ViPhOG26966	Lessievirus	Genus	498.9	468.7
ViPhOG1007	Betaarterivirus	Genus	105.5	98.8
ViPhOG4566	Slopekvirus	Genus	310.7	304.2
ViPhOG7102	Mimivirus	Genus	212.2	134.2
ViPhOG6410	Aphthovirus	Genus	79.4	nan
ViPhOG22726	Vequintavirus	Genus	202.9	199.3
ViPhOG28033	Getseptimavirus	Genus	306.3	194.1
ViPhOG1019	Betaarterivirus	Genus	225.2	201.1
ViPhOG17509	Mimivirus	Genus	133.4	108.5
ViPhOG1314	Aphthovirus	Genus	274.1	nan
ViPhOG16334	Alphacoronavirus	Genus	44.0	41.6
ViPhOG4912	Bruynoghevirus	Genus	600.0	578.8
ViPhOG6505	Alphacoronavirus	Genus	34.6	nan
