ViPhOG	Best_taxon	Rank	Max_evalue
ViPhOG18376	Proboscivirus	Genus	2.3e-56
ViPhOG10737	Ostreavirus	Genus	1.1e-116
ViPhOG838	Simplexvirus	Genus	1.8e-76
ViPhOG10405	Pecentumvirus	Genus	4.8e-27
ViPhOG30921	Rosebushvirus	Genus	8.6e-15
ViPhOG29386	Likavirus	Genus	1.2e-76
ViPhOG2454	Ranavirus	Genus	0.00062
ViPhOG14621	Barnyardvirus	Genus	7.7e-249
ViPhOG6744	Tequintavirus	Genus	2e-126
ViPhOG18582	Siminovitchvirus	Genus	9.2e-59
ViPhOG4148	Muromegalovirus	Genus	0.0001
ViPhOG18590	Siminovitchvirus	Genus	4.8e-76
ViPhOG9871	Muromegalovirus	Genus	1.1e-128
ViPhOG17950	Gamaleyavirus	Genus	5.9e-40
ViPhOG3310	Polerovirus	Genus	0.00055
ViPhOG21721	Obolenskvirus	Genus	3.9e-40
ViPhOG23190	Pagevirus	Genus	7.1e-161
ViPhOG10727	Iotatorquevirus	Genus	5.7e-130
ViPhOG1675	Orthopoxvirus	Genus	5.4e-31
ViPhOG3199	Alphabaculovirus	Genus	3e-10
ViPhOG6766	Tequintavirus	Genus	8e-54
ViPhOG29718	Alcyoneusvirus	Genus	2.4e-224
ViPhOG7963	Mimivirus	Genus	2.4e-40
ViPhOG7955	Mimivirus	Genus	0.0
ViPhOG11603	Iotatorquevirus	Genus	4.2e-132
ViPhOG2531	Orthopoxvirus	Genus	1.1e-71
ViPhOG14598	Bongovirus	Genus	8.4e-35
ViPhOG1554	Orthopoxvirus	Genus	1.1e-32
ViPhOG15146	Mimivirus	Genus	2.8e-05
ViPhOG22884	Muromegalovirus	Genus	3.6e-16
ViPhOG14344	Fromanvirus	Genus	1.2e-18
ViPhOG3554	Sobemovirus	Genus	0.00074
ViPhOG1153	Caulimovirus	Genus	0.00048
ViPhOG1152	Caulimovirus	Genus	3.1e-08
ViPhOG20028	Marseillevirus	Genus	1.5e-09
ViPhOG24409	Przondovirus	Genus	6.5e-31
ViPhOG10783	Cytomegalovirus	Genus	8.2e-06
ViPhOG6778	Tequintavirus	Genus	6e-87
ViPhOG12234	Chlorovirus	Genus	5.3e-266
ViPhOG9824	Orthopoxvirus	Genus	2.2e-11
ViPhOG15821	Bronvirus	Genus	2.5e-41
ViPhOG6754	Tequintavirus	Genus	1.3e-73
ViPhOG6724	Tequintavirus	Genus	1.6e-20
ViPhOG6759	Tequintavirus	Genus	3.3e-44
ViPhOG11164	Kostyavirus	Genus	2.7e-50
ViPhOG1377	Hypovirus	Genus	4e-36
ViPhOG15020	Pandoravirus	Genus	7.6e-113
ViPhOG15557	Mimivirus	Genus	1.1e-45
ViPhOG23188	Pagevirus	Genus	6.5e-181
ViPhOG27743	Fromanvirus	Genus	1.2e-15
ViPhOG22718	Seuratvirus	Genus	1e-10
ViPhOG21720	Yokohamavirus	Genus	1.1e-52
ViPhOG4480	Mosigvirus	Genus	1.1e-32
ViPhOG18001	Lymphocryptovirus	Genus	5.7e-90
ViPhOG3964	Muromegalovirus	Genus	2.1e-169
ViPhOG10606	Fletchervirus	Genus	3.2e-108
ViPhOG246	Closterovirus	Genus	2.3e-14
ViPhOG11405	Betabaculovirus	Genus	3.9e-26
ViPhOG22172	Betabaculovirus	Genus	4.9e-07
ViPhOG14071	Gaiavirus	Genus	3.3e-64
ViPhOG7294	Mimivirus	Genus	1.2e-06
ViPhOG30330	Limestonevirus	Genus	1.3e-158
ViPhOG6575	Megalocytivirus	Genus	1.7e-34
ViPhOG20595	Respirovirus	Genus	7.1e-18
ViPhOG6012	Orthopoxvirus	Genus	8.4e-22
ViPhOG25158	Chlorovirus	Genus	5.5e-26
ViPhOG25028	Chlorovirus	Genus	2.7e-43
ViPhOG18442	Slashvirus	Genus	0.0
ViPhOG1155	Caulimovirus	Genus	6.2e-17
ViPhOG29454	Bastillevirus	Genus	3.4e-109
ViPhOG8766	Agatevirus	Genus	6.2e-52
ViPhOG2404	Ranavirus	Genus	3.6e-24
ViPhOG7227	Mimivirus	Genus	5.4e-23
ViPhOG27873	Pepyhexavirus	Genus	7.5e-59
ViPhOG19775	Sepunavirus	Genus	4.2e-33
ViPhOG6335	Betacoronavirus	Genus	3.5e-09
ViPhOG14354	Fromanvirus	Genus	3.7e-25
ViPhOG5465	Certrevirus	Genus	3.3e-26
ViPhOG8812	Orthopoxvirus	Genus	6.7e-20
ViPhOG11148	Kostyavirus	Genus	5.4e-70
ViPhOG11213	Parapoxvirus	Genus	9.1e-29
ViPhOG20833	Petuvirus	Genus	4.8e-54
ViPhOG1235	Rubivirus	Genus	1.1e-173
ViPhOG11980	Colecusatellite	Genus	2.5e-54
ViPhOG12195	Prasinovirus	Genus	1.2e-19
ViPhOG1481	Orthopoxvirus	Genus	9.4e-25
ViPhOG3262	Alphabaculovirus	Genus	1.7e-34
ViPhOG6334	Betacoronavirus	Genus	1e-23
ViPhOG27870	Pepyhexavirus	Genus	1.2e-50
ViPhOG29542	Bequatrovirus	Genus	5e-30
ViPhOG21909	Baltimorevirus	Genus	5.2e-56
ViPhOG14207	Fromanvirus	Genus	5e-69
ViPhOG27886	Pepyhexavirus	Genus	1.7e-45
ViPhOG6803	Mastadenovirus	Genus	1.9e-05
ViPhOG17803	Mimivirus	Genus	0.0002
ViPhOG5568	Helsingorvirus	Genus	0.0
ViPhOG27888	Pepyhexavirus	Genus	1.5e-30
ViPhOG30623	Bequatrovirus	Genus	1.9e-65
ViPhOG20590	Alphacoronavirus	Genus	1.7e-09
ViPhOG27897	Pepyhexavirus	Genus	5.8e-39
ViPhOG3105	Betapapillomavirus	Genus	2.4e-24
ViPhOG3826	Asfivirus	Genus	2.8e-107
ViPhOG1109	Lymphocryptovirus	Genus	2.2e-76
ViPhOG20559	Mamastrovirus	Genus	2.5e-32
ViPhOG3165	Alphabaculovirus	Genus	4.3e-21
ViPhOG27917	Mieseafarmvirus	Genus	9.2e-118
ViPhOG12587	Iflavirus	Genus	1.8e-91
ViPhOG8585	Cytomegalovirus	Genus	7.9e-07
ViPhOG511	Potyvirus	Genus	4.5e-20
ViPhOG25057	Chlorovirus	Genus	1.2e-81
ViPhOG4526	Gelderlandvirus	Genus	2.6e-35
ViPhOG3302	Alphabaculovirus	Genus	5.1e-07
ViPhOG20504	Marseillevirus	Genus	1.4e-66
ViPhOG31031	Pepyhexavirus	Genus	5.1e-52
ViPhOG8485	Cytomegalovirus	Genus	8.2e-79
ViPhOG856	Simplexvirus	Genus	1.5e-37
ViPhOG8562	Cytomegalovirus	Genus	1.1e-20
ViPhOG30211	Firehammervirus	Genus	3.4e-38
ViPhOG20817	Jwalphavirus	Genus	3.5e-55
ViPhOG1106	Lymphocryptovirus	Genus	6.2e-14
ViPhOG648	Mastadenovirus	Genus	3.9e-25
ViPhOG668	Mastadenovirus	Genus	4.9e-22
ViPhOG10641	Kayvirus	Genus	2.8e-47
ViPhOG27893	Pepyhexavirus	Genus	3.8e-42
ViPhOG22996	Svunavirus	Genus	1.2e-64
ViPhOG1654	Orthopoxvirus	Genus	1.4e-19
ViPhOG23712	Vequintavirus	Genus	1e-46
ViPhOG28071	Phicbkvirus	Genus	1e-78
ViPhOG1680	Orthopoxvirus	Genus	6.3e-23
ViPhOG8969	Cytomegalovirus	Genus	0.0002
ViPhOG3388	Avipoxvirus	Genus	2.2e-16
ViPhOG11361	Phifelvirus	Genus	2.1e-43
ViPhOG27872	Pepyhexavirus	Genus	7e-48
ViPhOG764	Mastadenovirus	Genus	1.1e-21
ViPhOG6424	Alphaarterivirus	Genus	7.5e-100
ViPhOG855	Simplexvirus	Genus	3.9e-25
ViPhOG27877	Pepyhexavirus	Genus	2.4e-45
ViPhOG6888	Mimivirus	Genus	0.00011
ViPhOG14251	Cheoctovirus	Genus	4.7e-28
ViPhOG6233	Kayvirus	Genus	0.00038
ViPhOG4487	Tequatrovirus	Genus	1.6e-28
ViPhOG1714	Orthopoxvirus	Genus	3.2e-24
ViPhOG13658	Rubulavirus	Genus	1.4e-28
ViPhOG1049	Lymphocryptovirus	Genus	5.3e-30
ViPhOG6969	Mimivirus	Genus	6.8e-05
ViPhOG27879	Pepyhexavirus	Genus	8.4e-82
ViPhOG30680	Likavirus	Genus	2e-147
ViPhOG17988	Gamaleyavirus	Genus	1.8e-56
ViPhOG21719	Yokohamavirus	Genus	2.2e-79
ViPhOG848	Simplexvirus	Genus	4.3e-24
ViPhOG12616	Obolenskvirus	Genus	6.7e-49
ViPhOG20111	Marseillevirus	Genus	1e-08
ViPhOG27887	Pepyhexavirus	Genus	2e-133
ViPhOG1101	Lymphocryptovirus	Genus	5.3e-05
ViPhOG1715	Orthopoxvirus	Genus	5.9e-26
ViPhOG3287	Alphabaculovirus	Genus	1.9e-50
ViPhOG29897	Phicbkvirus	Genus	1.8e-156
ViPhOG1575	Orthopoxvirus	Genus	2.9e-127
ViPhOG30951	Bequatrovirus	Genus	6.1e-26
ViPhOG18989	Pandoravirus	Genus	1.4e-215
ViPhOG22243	Timquatrovirus	Genus	2.7e-43
ViPhOG31029	Pepyhexavirus	Genus	2.3e-54
ViPhOG1066	Lymphocryptovirus	Genus	2.2e-101
ViPhOG23659	Seunavirus	Genus	1.5e-60
ViPhOG6436	Betaarterivirus	Genus	3.1e-86
ViPhOG29514	Bastillevirus	Genus	1.5e-42
ViPhOG27747	Chlorovirus	Genus	8.2e-129
ViPhOG31032	Pepyhexavirus	Genus	1.4e-30
ViPhOG1505	Orthopoxvirus	Genus	2.3e-32
ViPhOG1716	Orthopoxvirus	Genus	1e-07
ViPhOG27892	Pepyhexavirus	Genus	6.3e-70
ViPhOG17249	Pahexavirus	Genus	1.2e-43
ViPhOG20512	Potyvirus	Genus	5.5e-11
ViPhOG2519	Avihepadnavirus	Genus	8.4e-45
ViPhOG13111	Schizotequatrovirus	Genus	5.9e-105
ViPhOG18259	Yokohamavirus	Genus	1.1e-79
ViPhOG10186	Poacevirus	Genus	8.7e-133
ViPhOG1518	Orthopoxvirus	Genus	1.2e-99
ViPhOG473	Betacoronavirus	Genus	3.7e-26
ViPhOG27688	Tlsvirus	Genus	8.9e-46
ViPhOG20106	Marseillevirus	Genus	1.4e-11
ViPhOG477	Betacoronavirus	Genus	8.1e-24
ViPhOG17251	Pahexavirus	Genus	9.5e-56
ViPhOG10962	Bixzunavirus	Genus	2.1e-165
ViPhOG9556	Betacoronavirus	Genus	7.7e-77
ViPhOG9913	Ranavirus	Genus	3.9e-13
ViPhOG26956	Lessievirus	Genus	3.3e-89
ViPhOG6828	Mimivirus	Genus	7.2e-14
ViPhOG27462	Chloriridovirus	Genus	0.0
ViPhOG14160	Kostyavirus	Genus	9.1e-126
ViPhOG1607	Orthopoxvirus	Genus	5.4e-29
ViPhOG17256	Pahexavirus	Genus	1.7e-36
ViPhOG10293	Ravinvirus	Genus	7.1e-204
ViPhOG7147	Mimivirus	Genus	5.6e-46
ViPhOG1655	Orthopoxvirus	Genus	3.4e-20
ViPhOG17254	Pahexavirus	Genus	4.1e-81
ViPhOG17235	Pahexavirus	Genus	1.2e-45
ViPhOG8559	Cytomegalovirus	Genus	1.9e-26
ViPhOG1661	Orthopoxvirus	Genus	0.00053
ViPhOG21749	Pahexavirus	Genus	4.3e-16
ViPhOG1709	Orthopoxvirus	Genus	3.3e-13
ViPhOG15816	Bronvirus	Genus	9.6e-34
ViPhOG18790	Cbastvirus	Genus	5e-121
ViPhOG17258	Pahexavirus	Genus	7.3e-50
ViPhOG1048	Lymphocryptovirus	Genus	2.5e-89
ViPhOG3417	Avipoxvirus	Genus	5.4e-17
ViPhOG17257	Pahexavirus	Genus	1.5e-20
ViPhOG19438	Pandoravirus	Genus	4.1e-22
ViPhOG6536	Megalocytivirus	Genus	3.4e-100
ViPhOG1605	Orthopoxvirus	Genus	1.7e-84
ViPhOG11254	Ampelovirus	Genus	1.5e-31
ViPhOG6389	Cytomegalovirus	Genus	1.4e-64
ViPhOG20052	Marseillevirus	Genus	1.5e-117
ViPhOG29898	Phicbkvirus	Genus	7.4e-270
ViPhOG8491	Cytomegalovirus	Genus	1e-48
ViPhOG14308	Cheoctovirus	Genus	3e-29
ViPhOG1617	Orthopoxvirus	Genus	1.3e-45
ViPhOG17245	Pahexavirus	Genus	1.7e-21
ViPhOG14731	Fromanvirus	Genus	2.7e-146
ViPhOG19048	Pandoravirus	Genus	0.0
ViPhOG782	Simplexvirus	Genus	1.6e-27
ViPhOG1050	Lymphocryptovirus	Genus	5.4e-54
ViPhOG18580	Siminovitchvirus	Genus	3.5e-32
ViPhOG10504	Asfivirus	Genus	8.3e-21
ViPhOG14366	Fromanvirus	Genus	3.7e-22
ViPhOG21929	Baltimorevirus	Genus	3.2e-53
ViPhOG11157	Kostyavirus	Genus	3.2e-29
ViPhOG22256	Deltaarterivirus	Genus	2.4e-73
ViPhOG17250	Pahexavirus	Genus	4.9e-49
ViPhOG1150	Caulimovirus	Genus	1.2e-48
ViPhOG14325	Fromanvirus	Genus	3.4e-06
ViPhOG2521	Avihepadnavirus	Genus	3e-36
ViPhOG9897	Salasvirus	Genus	1.9e-137
ViPhOG914	Potexvirus	Genus	7.3e-37
ViPhOG238	Closterovirus	Genus	1.3e-49
ViPhOG21771	Pecentumvirus	Genus	2e-31
ViPhOG29293	Reptarenavirus	Genus	2.9e-48
ViPhOG15155	Mimivirus	Genus	0.00019
ViPhOG17241	Pahexavirus	Genus	1.3e-26
ViPhOG11116	Kostyavirus	Genus	6.5e-38
ViPhOG8536	Cytomegalovirus	Genus	1.3e-18
ViPhOG7701	Mimivirus	Genus	6.2e-118
ViPhOG23537	Mosigvirus	Genus	1.4e-46
ViPhOG8596	Cytomegalovirus	Genus	3.7e-46
ViPhOG6995	Mimivirus	Genus	9.1e-29
ViPhOG1624	Orthopoxvirus	Genus	4.8e-74
ViPhOG28344	Alcyoneusvirus	Genus	7e-133
ViPhOG29218	Certrevirus	Genus	4.5e-43
ViPhOG22802	Tegunavirus	Genus	2.9e-64
ViPhOG31040	Caeruleovirus	Genus	6.6e-127
ViPhOG28343	Marseillevirus	Genus	6e-94
ViPhOG10056	Ipomovirus	Genus	4.5e-23
ViPhOG6979	Mimivirus	Genus	3.1e-11
ViPhOG15432	Mimivirus	Genus	4.5e-25
ViPhOG11804	Slopekvirus	Genus	7.8e-86
ViPhOG27600	Chlorovirus	Genus	0.00016
ViPhOG1572	Orthopoxvirus	Genus	2e-25
ViPhOG29286	Chivirus	Genus	2e-41
ViPhOG10775	Polerovirus	Genus	0.00073
ViPhOG3996	Muromegalovirus	Genus	1.2e-169
ViPhOG11113	Kostyavirus	Genus	3.3e-59
ViPhOG14339	Fromanvirus	Genus	7e-44
ViPhOG27613	Chlorovirus	Genus	0.00077
ViPhOG11596	Potyvirus	Genus	4.4e-08
ViPhOG6384	Cytomegalovirus	Genus	1.7e-10
ViPhOG22593	Dhakavirus	Genus	3.1e-32
ViPhOG14264	Cheoctovirus	Genus	2.9e-30
ViPhOG1563	Orthopoxvirus	Genus	6.2e-46
ViPhOG17244	Pahexavirus	Genus	2.4e-33
ViPhOG5732	Inhavirus	Genus	1.8e-104
ViPhOG30119	Phicbkvirus	Genus	6.1e-169
ViPhOG6769	Tequintavirus	Genus	2.9e-231
ViPhOG19587	Pandoravirus	Genus	4.3e-37
ViPhOG8564	Cytomegalovirus	Genus	3.5e-09
ViPhOG21753	Pahexavirus	Genus	3.2e-09
ViPhOG5987	Agricanvirus	Genus	2.3e-46
ViPhOG3954	Muromegalovirus	Genus	2.1e-132
ViPhOG1628	Orthopoxvirus	Genus	3.8e-153
ViPhOG20119	Marseillevirus	Genus	1.7e-16
ViPhOG3349	Carlavirus	Genus	1.4e-33
ViPhOG911	Tobamovirus	Genus	1.6e-06
ViPhOG27894	Pepyhexavirus	Genus	2e-66
ViPhOG26334	Fijivirus	Genus	1e-101
ViPhOG24243	Bruynoghevirus	Genus	4.9e-37
ViPhOG1676	Orthopoxvirus	Genus	6.6e-47
ViPhOG20296	Marseillevirus	Genus	1.9e-08
ViPhOG8223	Mimivirus	Genus	2.1e-15
ViPhOG2453	Ranavirus	Genus	4e-16
ViPhOG28715	Chloriridovirus	Genus	3.4e-54
ViPhOG29026	Bastillevirus	Genus	4.6e-94
ViPhOG6767	Tequintavirus	Genus	1.3e-63
ViPhOG27883	Pepyhexavirus	Genus	4.1e-94
ViPhOG8551	Cytomegalovirus	Genus	3.8e-16
ViPhOG10295	Vhmlvirus	Genus	6.4e-119
ViPhOG11093	Kostyavirus	Genus	9.5e-129
ViPhOG15514	Mimivirus	Genus	3.8e-21
ViPhOG11403	Betabaculovirus	Genus	2.9e-26
ViPhOG10135	Cytomegalovirus	Genus	1.6e-89
ViPhOG15235	Mimivirus	Genus	3.2e-18
ViPhOG3284	Alphabaculovirus	Genus	4.5e-30
ViPhOG8815	Orthopoxvirus	Genus	1.1e-11
ViPhOG1284	Mastadenovirus	Genus	4.3e-05
ViPhOG1641	Orthopoxvirus	Genus	3.2e-86
ViPhOG13663	Chloriridovirus	Genus	1.6e-30
ViPhOG14343	Fromanvirus	Genus	3.8e-29
ViPhOG19249	Pandoravirus	Genus	8e-35
ViPhOG9189	Closterovirus	Genus	1.5e-10
ViPhOG30972	Coopervirus	Genus	7.5e-22
ViPhOG14389	Omegavirus	Genus	8.8e-37
ViPhOG8949	Cytomegalovirus	Genus	1.1e-16
ViPhOG14324	Fromanvirus	Genus	5.4e-31
ViPhOG14226	Cheoctovirus	Genus	9.8e-110
ViPhOG21739	Yokohamavirus	Genus	4.8e-65
ViPhOG1619	Orthopoxvirus	Genus	2e-76
ViPhOG10801	Pegunavirus	Genus	2.4e-28
ViPhOG3157	Alphabaculovirus	Genus	3.3e-19
ViPhOG17205	Mamastrovirus	Genus	0.00022
ViPhOG26335	Fijivirus	Genus	2.9e-13
ViPhOG14345	Fromanvirus	Genus	8.3e-15
ViPhOG19301	Pandoravirus	Genus	6.7e-47
ViPhOG14329	Fromanvirus	Genus	6.1e-16
ViPhOG4333	Cyprinivirus	Genus	3.6e-159
ViPhOG2405	Chloriridovirus	Genus	7.8e-70
ViPhOG28706	Mapvirus	Genus	5.4e-210
ViPhOG5012	Nitunavirus	Genus	3.2e-36
ViPhOG14326	Fromanvirus	Genus	3.1e-21
ViPhOG14350	Fromanvirus	Genus	1.4e-33
ViPhOG17238	Pahexavirus	Genus	1.7e-28
ViPhOG18260	Gamaleyavirus	Genus	4.8e-33
ViPhOG15744	Alphabaculovirus	Genus	1.7e-35
ViPhOG27317	Alphasphaerolipovirus	Genus	1.1e-22
ViPhOG14244	Cheoctovirus	Genus	4.8e-05
ViPhOG15143	Mimivirus	Genus	5.7e-31
ViPhOG9324	Orthopoxvirus	Genus	1.7e-21
ViPhOG20794	Simplexvirus	Genus	7.7e-23
ViPhOG673	Potyvirus	Genus	7.6e-43
ViPhOG10948	Bixzunavirus	Genus	1.5e-54
ViPhOG2442	Ranavirus	Genus	4.5e-49
ViPhOG23351	Nonagvirus	Genus	5.2e-150
ViPhOG15188	Mimivirus	Genus	2e-32
ViPhOG3978	Muromegalovirus	Genus	0.00021
ViPhOG8948	Cytomegalovirus	Genus	3.1e-33
ViPhOG10893	Pegunavirus	Genus	7.9e-41
ViPhOG14340	Fromanvirus	Genus	1.8e-41
ViPhOG6772	Tequintavirus	Genus	3.5e-94
ViPhOG20226	Marseillevirus	Genus	2.1e-19
ViPhOG20354	Marseillevirus	Genus	9.3e-172
ViPhOG656	Mastadenovirus	Genus	3.6e-19
ViPhOG21802	Cepunavirus	Genus	4.7e-88
ViPhOG16930	Kleczkowskavirus	Genus	2.9e-57
ViPhOG19226	Pandoravirus	Genus	8.4e-124
ViPhOG8277	Mimivirus	Genus	1.1e-225
ViPhOG12588	Iflavirus	Genus	6.5e-222
ViPhOG23237	Schizotequatrovirus	Genus	7.8e-53
ViPhOG8488	Cytomegalovirus	Genus	1.8e-45
